,City,Cloudiness ,Country ,Date,Humidity ,Lat,Lng,Max Temp,Wind Speed
190,shubarshi,100,kz,1561622116,30,48.59,57.19,24.36,2.68
191,new norfolk,0,au,1561621516,66,-42.78,147.06,12.78,3.1
192,russell,1,nz,1561621897,69,38.9,-98.86,25.0,8.7
193,puteyets,99,ru,1561622117,37,65.17,57.09,19.56,3.22
194,pochutla,50,mx,1561622118,89,15.74,-96.47,25.56,3.18
195,gizo,0,sb,1561622118,48,31.8,34.94,32.22,3.1
196,fuerte olimpo,81,py,1561622118,87,-21.04,-57.87,14.76,2.59
197,gambela,23,et,1561622119,77,8.25,34.59,25.46,1.72
198,ulaanbaatar,75,mn,1561622119,62,47.92,106.92,13.0,8.0
199,chara,20,ru,1561622119,40,39.42,22.43,30.56,3.1
200,kattivakkam,40,in,1561622120,47,13.22,80.32,37.0,4.1
201,zhezkazgan,75,kz,1561622120,30,47.8,67.71,29.0,2.0
202,caruray,75,ph,1561622120,70,10.31,119.01,30.0,2.1
203,yerbogachen,0,ru,1561622121,30,61.28,108.01,27.86,2.6
204,makakilo city,90,us,1561621566,100,21.35,-158.09,26.67,1.5
205,kumluca,0,tr,1561622122,32,36.37,30.29,27.76,2.38
206,liuli,3,tz,1561622122,74,-11.1,34.65,22.46,8.14
207,hamilton,75,bm,1561622015,82,43.26,-79.87,20.0,1.5
208,yaan,82,cn,1561621583,82,7.38,8.57,26.26,3.42
209,hosdurga,51,in,1561622123,53,13.8,76.29,29.76,9.87
210,stephenville,20,ca,1561622124,81,48.55,-58.59,10.0,2.6
211,saint anthony,1,ca,1561621547,45,43.97,-111.68,17.0,2.1
212,pisco,90,pe,1561621595,88,-13.71,-76.2,17.0,1.0
213,santa rosa,1,br,1561621605,93,38.44,-122.71,13.89,2.1
214,salalah,75,om,1561621326,79,17.01,54.1,30.0,6.7
215,ewo,28,cg,1561622125,54,-0.88,14.81,27.26,3.77
216,salinopolis,55,br,1561622125,80,-0.61,-47.36,27.26,6.05
217,kodiak,1,us,1561622126,69,39.95,-94.76,24.44,4.1
218,seoul,40,kr,1561621619,55,37.57,126.98,31.0,2.1
219,ler,75,sd,1561622126,87,63.2,10.3,11.0,11.3
220,progreso,0,mx,1561622127,75,-34.68,-56.22,8.33,3.6
221,namibe,0,ao,1561621560,78,-15.19,12.15,18.06,3.09
222,homer,1,us,1561622128,82,59.64,-151.54,13.89,2.6
223,alofi,45,nu,1561622128,78,-19.06,-169.92,23.0,4.6
224,aykhal,40,ru,1561621535,34,65.95,111.51,27.0,3.0
225,bilibino,99,ru,1561622129,48,68.06,166.44,11.36,2.8
226,parabel,43,ru,1561622129,72,58.71,81.5,20.46,6.44
227,gwanda,0,zw,1561622130,45,-20.94,29.0,19.86,4.39
228,kaitangata,98,nz,1561622130,60,-46.28,169.85,10.56,1.79
229,half moon bay,90,us,1561622130,87,37.46,-122.43,15.56,4.1
230,horsham,98,au,1561622131,76,-36.71,142.2,11.56,5.54
231,cururupu,28,br,1561622131,99,-1.82,-44.87,22.26,0.85
232,banjar,92,id,1561622131,71,-7.37,108.54,25.06,3.23
233,teya,5,ru,1561622132,78,21.05,-89.07,26.67,2.6
234,souillac,0,mu,1561622132,54,45.6,-0.6,28.33,3.1
235,bagan,100,ru,1561622132,71,54.1,77.67,16.66,3.51
236,santa maria,0,cv,1561622133,77,-16.02,-48.01,15.0,1.5
237,sayville,1,us,1561622134,88,40.74,-73.08,22.0,1.5
238,tupik,100,ru,1561622134,51,54.43,119.94,19.36,1.88
239,palmer,0,us,1561622017,40,-34.85,139.16,21.0,6.7
240,faanui,2,pf,1561621619,71,-16.48,-151.75,26.76,0.93
241,micheweni,47,tz,1561622135,75,-4.97,39.83,26.06,10.28
242,de aar,0,za,1561622135,31,-30.65,24.01,8.0,1.5
243,haines junction,1,ca,1561622136,79,60.75,-137.51,9.36,1.41
244,ojinaga,1,mx,1561622136,65,29.56,-104.41,26.0,4.1
245,stawell,67,au,1561622136,85,-37.06,142.77,9.76,3.15
246,marsa matruh,0,eg,1561622137,76,31.35,27.25,25.26,3.0
247,kantemirovka,74,ru,1561622137,50,49.7,39.85,25.56,4.58
248,huambo,0,ao,1561622137,62,-12.78,15.73,15.0,2.3
249,bondoukou,84,ci,1561622138,89,8.04,-2.8,24.36,2.58
250,yulara,64,au,1561621579,14,-25.24,130.99,22.0,2.1
251,velikiy novgorod,100,ru,1561622004,95,58.52,31.28,12.06,3.44
252,torata,28,pe,1561622139,93,-3.6,-79.89,20.16,0.46
253,puerto ayora,26,ec,1561621779,87,-0.74,-90.35,22.16,4.52
254,santa fe,3,ar,1561621678,72,-31.62,-60.7,7.78,4.92
255,los llanos de aridane,20,es,1561622140,60,28.66,-17.92,21.0,3.1
256,te anau,4,nz,1561621582,83,-45.41,167.72,6.76,2.97
257,novonikolayevskiy,40,ru,1561622140,37,50.97,42.37,27.22,2.24
258,baykit,100,ru,1561621691,32,61.68,96.39,27.06,1.68
259,ostrovnoy,100,ru,1561621625,57,68.05,39.51,15.76,7.67
260,nemuro,75,jp,1561622141,87,43.32,145.57,14.0,4.6
261,coari,66,br,1561622141,96,-4.09,-63.14,21.96,0.73
262,barrow,100,us,1561622142,49,-38.31,-60.23,7.96,7.0
263,nikolskoye,75,ru,1561622142,82,59.7,30.79,19.44,3.0
264,bani walid,0,ly,1561622142,36,31.76,14.0,27.46,2.66
265,nalchiti,100,bd,1561622143,49,22.63,90.28,35.76,7.53
266,broken hill,2,au,1561621647,34,-31.97,141.45,20.0,5.7
267,bambous virieux,40,mu,1561622143,74,-20.34,57.76,26.0,6.2
268,wattegama,100,lk,1561621688,51,7.35,80.68,31.56,4.84
269,coueron,0,fr,1561622144,74,47.22,-1.72,28.33,7.2
270,altus,1,us,1561621993,69,34.64,-99.33,26.0,5.7
271,mae sai,40,th,1561622144,52,20.44,99.89,34.0,2.6
272,margate,0,za,1561621562,66,-43.03,147.26,12.78,3.1
273,payo,57,ph,1561622145,91,-3.75,103.64,24.36,0.1
274,tarakan,67,id,1561621885,65,3.3,117.63,31.06,2.69
275,kodinsk,0,ru,1561621631,24,58.6,99.18,31.36,3.5
276,yumen,75,cn,1561621551,20,40.29,97.04,26.86,8.26
277,darlawn,75,in,1561622146,78,24.02,92.93,28.0,3.6
278,nabire,96,id,1561622146,89,-3.36,135.5,23.06,1.6
279,abha,0,sa,1561622147,11,18.22,42.5,32.0,7.2
280,tuatapere,100,nz,1561621445,90,-46.13,167.69,10.0,1.34
281,kabelvag,40,no,1561622147,61,68.21,14.48,10.0,3.6
282,bungu,2,tz,1561622148,52,-7.63,39.06,28.16,3.82
283,grindavik,90,is,1561621620,100,63.84,-22.43,11.0,7.2
284,ust-tsilma,100,ru,1561621631,38,65.44,52.15,18.46,3.83
285,corner brook,75,ca,1561621921,93,48.95,-57.95,10.0,1.36
286,bilma,0,ne,1561621565,16,18.69,12.92,38.06,3.93
287,marfino,0,ru,1561622149,77,56.07,37.56,17.22,5.0
288,paysandu,0,uy,1561621892,80,-32.32,-58.08,5.56,0.45
289,dingle,100,ie,1561621661,86,11.0,122.67,26.06,2.14
290,pio ix,46,br,1561622150,88,-6.83,-40.61,18.46,1.57
291,umm kaddadah,0,sd,1561622150,32,13.6,26.69,33.56,5.59
292,puerto baquerizo moreno,100,ec,1561622151,89,-0.9,-89.6,22.36,6.11
293,tura,94,ru,1561621564,72,64.27,100.22,19.96,1.87
294,dajal,7,pk,1561622151,13,29.56,70.38,43.36,5.92
295,mangrol,5,in,1561621659,22,25.33,76.51,42.06,3.66
296,vostok,100,ru,1561621377,99,46.45,135.83,12.36,2.11
297,suzun,0,ru,1561622152,50,53.78,82.32,25.96,2.59
298,san jose,100,gt,1561621409,87,15.79,120.99,26.46,2.58
299,buchanan,90,lr,1561621662,94,5.88,-10.05,24.0,5.55
300,barahona,34,do,1561622153,92,18.21,-71.1,22.16,1.26
301,henniker,90,us,1561622153,93,43.18,-71.82,17.78,0.24
302,torbay,40,ca,1561621485,81,47.66,-52.73,7.0,2.1
303,jalu,0,ly,1561621554,40,29.03,21.55,32.56,4.62
304,shunyi,0,cn,1561622154,34,40.13,116.65,38.89,3.0
305,ust-shonosha,100,ru,1561622154,46,61.15,41.34,16.46,3.28
306,ajaccio,0,fr,1561622155,74,41.93,8.74,32.0,3.6
307,tuensang,99,in,1561622155,81,26.24,94.81,27.36,2.92
308,danielskuil,0,za,1561622155,41,-28.19,23.54,16.36,12.84
309,ihiala,100,ng,1561622156,95,5.86,6.86,23.76,1.74
310,dunedin,33,nz,1561621933,60,-45.87,170.5,11.11,0.45
311,hammerfest,40,no,1561621635,81,70.66,23.68,7.0,15.4
312,inverell,57,au,1561622157,68,-29.78,151.11,13.89,2.24
313,cadillac,90,us,1561622157,93,44.25,-85.4,18.0,2.11
314,tecpan,77,mx,1561622158,90,14.76,-90.99,13.89,0.89
315,pudozh,100,ru,1561622158,41,61.81,36.54,19.56,2.99
316,la ronge,40,ca,1561621624,93,55.1,-105.3,11.0,1.5
317,bayshore gardens,1,us,1561622158,69,27.43,-82.59,26.11,3.1
318,kuminskiy,89,ru,1561622159,45,58.67,66.57,16.66,2.78
319,okhotsk,60,ru,1561621587,42,59.36,143.24,25.16,1.72
320,beloha,64,mg,1561622159,66,-25.17,45.06,22.96,7.71
321,port hawkesbury,100,ca,1561622160,100,45.62,-61.36,12.22,3.1
322,puerto montt,97,cl,1561622160,89,-41.47,-72.94,7.66,5.4
323,petropavlovsk-kamchatskiy,75,ru,1561621669,66,53.05,158.65,11.0,5.0
324,alice springs,63,au,1561622161,22,-23.7,133.88,20.0,3.1
325,batticaloa,56,lk,1561621953,27,7.71,81.69,38.56,1.66
326,faya,0,td,1561622161,11,18.39,42.45,32.0,7.2
327,antsirabe,0,mg,1561622162,60,-19.87,47.03,18.36,3.47
328,vardo,1,no,1561621671,93,39.62,-77.74,22.78,1.04
329,north myrtle beach,1,us,1561622162,94,33.83,-78.68,24.0,2.1
330,dalby,20,au,1561622163,63,-27.18,151.26,17.78,6.2
331,portland,90,au,1561622163,100,43.66,-70.25,17.0,2.1
332,lagoa,0,pt,1561622164,72,37.14,-8.45,21.11,4.1
333,longyearbyen,75,sj,1561622164,96,78.22,15.63,4.0,4.6
334,kopavogur,90,is,1561622164,100,64.11,-21.91,11.67,7.2
335,ambilobe,0,mg,1561622165,52,-13.19,49.05,29.96,1.55
336,trofors,75,no,1561622165,81,65.54,13.39,10.0,1.5
337,ringkobing,75,dk,1561622165,82,56.09,8.24,15.0,9.3
338,atambua,13,id,1561621633,64,-9.11,124.89,25.96,4.36
339,zhigansk,68,ru,1561621597,34,66.77,123.37,26.76,4.45
340,lasa,0,cn,1561622166,74,34.92,32.53,31.11,5.1
341,san carlos,100,bo,1561622167,91,15.93,120.35,25.26,6.71
342,yatou,75,cn,1561622168,100,3.63,9.81,24.0,1.0
343,shirokiy,100,ru,1561622168,85,53.87,39.17,17.22,4.84
344,sola,100,vu,1561621911,54,-3.17,33.8,22.76,1.19
345,sarana,0,ru,1561622169,61,56.48,57.73,16.66,3.94
346,baruun-urt,100,mn,1561622169,15,46.68,113.28,27.46,9.77
347,ozernovskiy,100,ru,1561622169,96,51.5,156.52,4.56,3.02
348,road town,20,vg,1561622170,78,18.42,-64.62,27.0,3.1
349,boa vista,40,br,1561622141,83,2.82,-60.67,25.0,4.1
350,ancud,90,cl,1561621380,93,-41.87,-73.83,7.0,3.6
351,eyl,0,so,1561622171,36,7.98,49.82,33.36,12.87
352,ahuimanu,40,us,1561622000,100,21.44,-157.84,26.67,1.5
353,chicama,20,pe,1561622172,88,-7.84,-79.15,17.0,1.5
354,muravlenko,99,ru,1561622172,50,63.79,74.5,12.96,7.95
355,inhambane,40,mz,1561622173,73,-23.87,35.38,22.0,1.5
356,barstow,1,us,1561622173,65,31.46,-103.39,26.0,7.2
357,qasigiannguit,43,gl,1561621687,86,68.82,-51.19,4.0,2.1
358,northam,75,au,1561622174,81,-31.65,116.67,12.0,7.7
359,coihaique,0,cl,1561622174,97,-45.58,-72.07,1.0,2.1
360,ihosy,34,mg,1561622174,69,-22.4,46.13,18.86,6.37
361,vanimo,75,pg,1561622175,70,-2.67,141.3,28.86,1.39
362,hay river,90,ca,1561622175,93,60.82,-115.79,10.0,1.5
363,dicabisagan,100,ph,1561622175,87,17.08,122.42,26.76,1.76
364,cidreira,0,br,1561622176,66,-30.17,-50.22,6.36,1.01
365,sonoita,1,mx,1561622176,29,31.68,-110.66,28.33,1.5
366,shingu,75,jp,1561622176,94,33.72,135.99,25.0,10.3
367,westport,20,nz,1561622177,88,41.14,-73.36,21.67,3.6
368,algiers,75,dz,1561622177,88,29.94,-90.04,27.22,1.16
369,chicaman,65,gt,1561622177,98,15.4,-90.73,13.56,1.02
370,marsh harbour,21,bs,1561622178,75,26.54,-77.06,27.96,3.88
371,ahipara,1,nz,1561622178,75,-35.17,173.16,14.36,6.87
372,zeya,100,ru,1561622179,37,53.74,127.27,21.76,2.55
373,wajir,0,ke,1561622179,41,1.75,40.07,30.76,9.41
374,port lincoln,100,au,1561621634,65,-34.72,135.86,17.66,9.16
375,nichinan,75,jp,1561621607,88,31.65,131.31,26.0,3.1
376,ancona,1,it,1561622180,88,41.04,-88.87,22.22,2.52
377,lavrentiya,100,ru,1561622180,97,65.58,-170.99,7.46,3.24
378,copiapo,0,cl,1561622181,81,-27.37,-70.33,11.0,2.6
